x,acc_reward
0,8.0
1,8.5
2,8.5
3,8.5
4,8.5
5,8.333333333333334
6,8.5
7,8.5
8,8.5
9,8.666666666666666
10,8.5
11,8.5
12,8.4
13,8.5
14,9.25
15,8.5
16,8.5
17,8.5
18,8.5
19,8.5
20,8.5
21,8.5
22,8.5
23,8.5
24,8.5
25,8.5
26,9.333333333333334
27,9.5
28,9.333333333333334
29,8.5
30,9.333333333333334
31,8.666666666666666
32,8.5
33,9.666666666666666
34,7.666666666666667
35,9.0
36,8.5
37,8.0
38,8.5
39,8.5
40,9.666666666666666
41,10.666666666666666
42,8.5
43,9.666666666666666
44,9.333333333333334
45,10.333333333333334
46,8.5
47,8.5
48,8.5
49,9.6
50,7.8
51,9.0
52,7.2
53,8.5
54,8.5
55,8.5
56,8.5
57,10.0
58,8.5
59,10.0
60,7.181818181818182
61,10.0
62,8.5
63,8.5
64,8.5
65,8.5
66,8.5
67,10.5
68,10.5
69,8.25
70,7.434782608695652
71,9.333333333333334
72,9.0
73,8.5
74,8.25
75,9.0
76,10.333333333333334
77,8.5
78,8.75
79,9.25
80,8.5
81,9.666666666666666
82,8.75
83,8.5
84,9.25
85,8.5
86,8.5
87,11.0
88,8.5
89,9.0
90,8.5
91,9.0
92,9.0
93,8.666666666666666
94,9.5
95,7.75
96,8.5
97,8.0
98,8.5
99,8.5
100,8.142857142857142
101,8.5
102,8.5
103,8.5
104,8.5
105,8.0
106,7.777777777777778
107,8.5
108,8.0
109,9.2
110,8.5
111,8.5
112,8.5
113,8.5
114,7.5
115,8.5
116,8.5
117,8.666666666666666
118,9.75
119,9.0
120,11.0
121,9.0
122,8.5
123,8.5
124,8.5
125,9.666666666666666
126,6.454545454545454
127,8.5
128,8.5
129,8.5
130,9.25
131,8.5
132,8.25
133,10.0
134,8.5
135,10.666666666666666
136,7.4
137,9.666666666666666
138,9.333333333333334
139,9.0
140,9.25
141,8.5
142,9.0
143,8.5
144,8.5
145,8.5
146,9.25
147,8.5
148,6.076923076923077
149,8.5
150,8.5
151,8.277777777777779
152,8.5
153,8.5
154,8.5
155,8.5
156,10.333333333333334
157,8.25
158,8.5
159,8.0
160,8.5
161,9.25
162,8.0
163,8.5
164,8.5
165,8.5
166,8.25
167,8.5
168,8.0
169,8.5
170,8.5
171,9.25
172,8.5
173,9.333333333333334
174,8.5
175,8.5
176,10.0
177,8.5
178,10.0
179,8.5
180,8.5
181,8.0
182,8.4
183,10.5
184,8.5
185,8.5
186,8.666666666666666
187,8.5
188,8.157894736842104
189,8.5
190,9.666666666666666
191,6.714285714285714
192,10.0
193,6.470588235294118
194,7.25
195,10.666666666666666
196,8.5
197,10.666666666666666
198,8.666666666666666
199,8.5
200,8.5
201,9.333333333333334
202,8.5
203,9.75
204,8.5
205,7.75
206,8.5
207,8.0
208,8.5
209,7.666666666666667
210,7.6
211,9.5
212,8.5
213,8.75
214,8.333333333333334
215,8.0
216,8.5
217,8.666666666666666
218,9.666666666666666
219,9.666666666666666
220,8.5
221,7.2
222,7.5
223,7.75
224,8.5
225,10.666666666666666
226,8.5
227,9.0
228,9.25
229,8.5
230,8.5
231,8.0
232,8.5
233,10.0
234,8.75
235,10.666666666666666
236,10.666666666666666
237,8.5
238,11.0
239,8.5
240,8.0
241,9.0
242,9.666666666666666
243,10.0
244,8.5
245,8.5
246,8.5
247,8.5
248,8.5
249,8.5
250,8.5
251,7.75
252,9.666666666666666
253,8.5
254,9.0
255,9.666666666666666
256,9.0
257,9.333333333333334
258,8.5
259,8.5
260,10.0
261,8.5
262,8.5
263,10.333333333333334
264,8.5
265,9.0
266,8.5
267,8.5
268,7.5
269,8.666666666666666
270,7.37037037037037
271,10.5
272,8.5
273,10.333333333333334
274,8.428571428571429
275,9.25
276,8.75
277,8.8
278,8.5
279,10.25
280,8.5
281,8.117647058823529
282,7.75
283,8.5
284,8.5
285,8.5
286,8.75
287,8.6
288,8.5
289,8.5
290,9.333333333333334
291,8.166666666666666
292,8.5
293,8.5
294,8.5
295,7.8
296,9.0
297,8.5
298,8.5
299,8.25
300,8.5
301,9.4
302,8.666666666666666
303,8.5
304,8.5
305,8.5
306,8.5
307,9.666666666666666
308,8.333333333333334
309,8.666666666666666
310,8.5
311,10.333333333333334
312,8.4
313,8.545454545454545
314,8.0
315,8.8
316,9.333333333333334
317,8.5
318,8.25
319,8.5
320,8.5
321,8.5
322,9.75
323,9.25
324,8.5
325,8.5
326,9.0
327,10.0
328,8.5
329,11.0
330,8.5
331,8.5
332,7.75
333,8.142857142857142
334,8.5
335,8.5
336,8.0
337,8.5
338,11.0
339,8.5
340,8.5
341,7.0
342,8.5
343,9.0
344,8.5
345,8.5
346,8.5
347,9.75
348,9.0
349,11.0
350,8.5
351,8.5
352,8.25
353,8.5
354,8.5
355,8.5
356,8.5
357,8.5
358,8.5
359,8.5
360,7.666666666666667
361,11.666666666666666
