x,acc_reward
0,80.0
1,85.0
2,85.0
3,85.0
4,85.0
5,83.33333333333333
6,85.0
7,85.0
8,85.0
9,86.66666666666667
10,85.0
11,85.0
12,84.0
13,85.0
14,92.5
15,85.0
16,85.0
17,85.0
18,85.0
19,85.0
20,85.0
21,85.0
22,85.0
23,85.0
24,85.0
25,85.0
26,93.33333333333333
27,95.0
28,93.33333333333333
29,85.0
30,93.33333333333333
31,86.66666666666667
32,85.0
33,96.66666666666667
34,76.66666666666667
35,90.0
36,85.0
37,80.0
38,85.0
39,85.0
40,96.66666666666667
41,106.66666666666667
42,85.0
43,96.66666666666667
44,93.33333333333333
45,103.33333333333333
46,85.0
47,85.0
48,85.0
49,96.0
50,78.0
51,90.0
52,72.0
53,85.0
54,85.0
55,85.0
56,85.0
57,100.0
58,85.0
59,100.0
60,71.81818181818181
61,100.0
62,85.0
63,85.0
64,85.0
65,85.0
66,85.0
67,105.0
68,105.0
69,82.5
70,74.34782608695652
71,93.33333333333333
72,90.0
73,85.0
74,82.5
75,90.0
76,103.33333333333333
77,85.0
78,87.5
79,92.5
80,85.0
81,96.66666666666667
82,87.5
83,85.0
84,92.5
85,85.0
86,85.0
87,110.0
88,85.0
89,90.0
90,85.0
91,90.0
92,90.0
93,86.66666666666667
94,95.0
95,77.5
96,85.0
97,80.0
98,85.0
99,85.0
100,81.42857142857143
101,85.0
102,85.0
103,85.0
104,85.0
105,80.0
106,77.77777777777777
107,85.0
108,80.0
109,92.0
110,85.0
111,85.0
112,85.0
113,85.0
114,75.0
115,85.0
116,85.0
117,86.66666666666667
118,97.5
119,90.0
120,110.0
121,90.0
122,85.0
123,85.0
124,85.0
125,96.66666666666667
126,64.54545454545455
127,85.0
128,85.0
129,85.0
130,92.5
131,85.0
132,82.5
133,100.0
134,85.0
135,106.66666666666667
136,74.0
137,96.66666666666667
138,93.33333333333333
139,90.0
140,92.5
141,85.0
142,90.0
143,85.0
144,85.0
145,85.0
146,92.5
147,85.0
148,60.76923076923077
149,85.0
150,85.0
151,82.77777777777777
152,85.0
153,85.0
154,85.0
155,85.0
156,103.33333333333333
157,82.5
158,85.0
159,80.0
